,n,accuracy,auc,base_rate,IC
Logistic,2029.0,0.5130606209955643,0.5243669788414845,0.5263676688023657,0.05379070192317533
RandomForest,2029.0,0.5431246919664859,0.5516515840631052,0.5263676688023657,0.05209988575590119
GradientBoosting,2029.0,0.5342533267619517,0.5480324412382545,0.5263676688023657,0.05784216459812026
MLP,2029.0,0.5214391325776244,0.5140576100893655,0.5263676688023657,0.01618229743914816
Ensemble,2029.0,0.5381961557417447,0.5475823015195626,0.5263676688023657,0.053447976077569716
