,0
usd_mom_6,0.08087071397187931
delta_selic_3m,0.07570421752720076
ipca_yoy,0.06743585943141749
usd_mom_3,0.06555153351362726
usd_mom_1,0.05753613253556233
igpm_yoy,0.051131769144179634
juro_real,0.047066131286917376
spx_mom_3,0.04570258039521406
selic_meta,0.042705896323479264
curva_imab,0.04147789294510441
mom_3,0.03842253982814843
spx_mom_6,0.038385298867927985
xs_mom_3,0.03614169012807388
dist_ma_6,0.029456103285156746
xs_mom_1,0.029115541389455324
ret_1,0.028380131736021587
vol_12,0.027492639349991212
xs_mom_6,0.026583794977118377
vol_6,0.02457156248115992
mom_1,0.023567033291288897
mom_6,0.023006099225337383
vol_3,0.022494123617108924
accel_3,0.022394273778130556
xs_mom_12,0.018417303875399693
mom_12,0.01774359127788027
dist_ma_12,0.01588424633365834
is_OURO,0.000651898661797318
is_SP500BR,0.0005991624824641243
is_IFNC,0.000453068508347123
is_IMAB5,0.0004029613287925524
is_IMAB,0.0003087672895049349
is_IBOV,0.00022962839708334955
is_UTIL,0.00011581281557113735
is_IDIV,0.0
